Date,Away Team,Away Code,Home Team,Home Code
"Tue, Oct 24, 2023",Los Angeles Lakers,LAL,Denver Nuggets,DEN
"Tue, Oct 24, 2023",Phoenix Suns,PHO,Golden State Warriors,GSW
"Wed, Oct 25, 2023",Houston Rockets,HOU,Orlando Magic,ORL
"Wed, Oct 25, 2023",Boston Celtics,BOS,New York Knicks,NYK
"Wed, Oct 25, 2023",Washington Wizards,WAS,Indiana Pacers,IND
"Wed, Oct 25, 2023",Atlanta Hawks,ATL,Charlotte Hornets,CHA
"Wed, Oct 25, 2023",Detroit Pistons,DET,Miami Heat,MIA
"Wed, Oct 25, 2023",Minnesota Timberwolves,MIN,Toronto Raptors,TOR
"Wed, Oct 25, 2023",Cleveland Cavaliers,CLE,Brooklyn Nets,BKN
"Wed, Oct 25, 2023",New Orleans Pelicans,NOP,Memphis Grizzlies,MEM
"Wed, Oct 25, 2023",Oklahoma City Thunder,OKC,Chicago Bulls,CHI
"Wed, Oct 25, 2023",Sacramento Kings,SAC,Utah Jazz,UTA
"Wed, Oct 25, 2023",Dallas Mavericks,DAL,San Antonio Spurs,SAS
"Wed, Oct 25, 2023",Portland Trail Blazers,POR,Los Angeles Clippers,LAC
"Thu, Oct 26, 2023",Philadelphia 76ers,PHI,Milwaukee Bucks,MIL
"Thu, Oct 26, 2023",Phoenix Suns,PHO,Los Angeles Lakers,LAL
"Fri, Oct 27, 2023",Denver Nuggets,DEN,Memphis Grizzlies,MEM
"Fri, Oct 27, 2023",Detroit Pistons,DET,Charlotte Hornets,CHA
"Fri, Oct 27, 2023",New York Knicks,NYK,Atlanta Hawks,ATL
"Fri, Oct 27, 2023",Oklahoma City Thunder,OKC,Cleveland Cavaliers,CLE
"Fri, Oct 27, 2023",Miami Heat,MIA,Boston Celtics,BOS
"Fri, Oct 27, 2023",Toronto Raptors,TOR,Chicago Bulls,CHI
"Fri, Oct 27, 2023",Houston Rockets,HOU,San Antonio Spurs,SAS
"Fri, Oct 27, 2023",Brooklyn Nets,BKN,Dallas Mavericks,DAL
"Fri, Oct 27, 2023",Los Angeles Clippers,LAC,Utah Jazz,UTA
