,Team,Matchups Score,League,Color,Week
0,BIG BULLS,258.0,M,"rgb(0,200,0)",20
1,I Felton Her Booby,257.0,D,"rgb(1,199,0)",20
2,Mos Eisley Banthas,255.5,C,"rgb(3,198,0)",20
3,Triple Towers,255.0,L,"rgb(3,197,0)",20
4,TankCity Unicorns,253.0,C,"rgb(5,196,0)",20
5,Boston Beer Bellies,250.5,A,"rgb(8,194,0)",20
6,New York NateThrobinsons,248.5,B,"rgb(10,192,0)",20
7,Who what where when Kawhi,248.0,L,"rgb(10,192,0)",20
8,BigZ Spurs,247.5,G,"rgb(11,191,0)",20
9,Doris' Big Old Giddies,246.5,D,"rgb(12,191,0)",20
10,nutted In her Gasol,246.5,E,"rgb(12,191,0)",20
11,The IBINATORS,246.0,H,"rgb(12,190,0)",20
12,Lukatmenowmum,245.5,C,"rgb(13,190,0)",20
13,Flint Tropics,244.5,M,"rgb(14,189,0)",20
14,Ol' Dirty Baskets,243.5,B,"rgb(15,188,0)",20
15,Margaret River Wyld Stallyns,241.5,E,"rgb(17,187,0)",20
16,Bruce brown-eye,239.0,C,"rgb(19,185,0)",20
17,Gladysisahoe Dazz,236.5,F,"rgb(22,183,0)",20
18,Victor Oladeepthr*ats,233.5,B,"rgb(25,181,0)",20
19,Atlanta  Waivers,233.0,D,"rgb(25,180,0)",20
20,Philderbeasts,232.0,I,"rgb(26,179,0)",20
21,OnlyFranz,231.0,F,"rgb(27,179,0)",20
22,Temporary Linsanity,230.5,L,"rgb(28,178,0)",20
23,Joeys Mad Lads,228.5,F,"rgb(30,177,0)",20
24,Dallas Double D's,228.0,A,"rgb(30,176,0)",20
25,Good Problems,227.0,K,"rgb(31,175,0)",20
26,Funghi Curry,225.5,H,"rgb(33,174,0)",20
27,Pablo's Players,224.5,K,"rgb(34,174,0)",20
28,Mile High Mutombo's,223.0,H,"rgb(35,172,0)",20
29,Bank Town Squids,221.5,B,"rgb(37,171,0)",20
30,The Snack Randolphs,221.5,L,"rgb(37,171,0)",20
31,LIL UZI YURT,221.0,E,"rgb(37,171,0)",20
32,Hispanic Deepers,220.5,J,"rgb(38,170,0)",20
33,Fresh Prince  FP,219.0,G,"rgb(39,169,0)",20
34,Saint Lunatics,218.5,G,"rgb(40,169,0)",20
35,AY JARAMBA!,216.5,E,"rgb(42,167,0)",20
36,Team luka slo,216.5,D,"rgb(42,167,0)",20
37,Beau_Brigade,215.5,J,"rgb(43,167,0)",20
38,DurdyDurdsDuds,214.0,D,"rgb(44,165,0)",20
39,HARDEN UP!,213.5,B,"rgb(44,165,0)",20
40,Slim Towers,212.5,E,"rgb(45,164,0)",20
41,Jinja Go Bear,212.0,C,"rgb(46,164,0)",20
42,Memphis 12 Guage,212.0,A,"rgb(46,164,0)",20
43,Taiwan Troopers,211.5,M,"rgb(46,163,0)",20
44,Holy Klay-Noli's,210.0,J,"rgb(48,162,0)",20
45,Team No Lackin,209.5,G,"rgb(48,162,0)",20
46,Brunson Burner,208.0,M,"rgb(50,161,0)",20
47,Moon Shooters,206.5,D,"rgb(51,160,0)",20
48,The Great Hali,205.0,H,"rgb(53,158,0)",20
49,Diamond  D Dynasty,204.0,E,"rgb(54,158,0)",20
50,Team Cooke,203.0,B,"rgb(55,157,0)",20
51,On The  Bagleys,201.5,I,"rgb(56,156,0)",20
52,The A**L Embiids,201.5,B,"rgb(56,156,0)",20
53,The Gee Whizzles,201.5,I,"rgb(56,156,0)",20
54,OG Tassie Devils,201.0,D,"rgb(57,155,0)",20
55,Allen Iversons Ego,200.5,I,"rgb(57,155,0)",20
56,Kobe Beans,200.0,J,"rgb(58,155,0)",20
57,Chi Cargo Pants,199.5,A,"rgb(58,154,0)",20
58,Balls Deep,199.0,M,"rgb(59,154,0)",20
59,Don't Go Blakin My Heart,198.0,H,"rgb(60,153,0)",20
60,Team Damon,197.5,H,"rgb(60,153,0)",20
61,DominAyton Curry,197.0,L,"rgb(61,152,0)",20
62,War Grimes in Garza,196.5,A,"rgb(61,152,0)",20
63,HotDawgs,195.5,M,"rgb(62,151,0)",20
64,Taco Corp,195.5,A,"rgb(62,151,0)",20
65,Boston Bombers,195.0,C,"rgb(63,151,0)",20
66,Moves Like Agger,195.0,L,"rgb(63,151,0)",20
67,'22 Spirit,189.0,D,"rgb(69,146,0)",20
68,JR  Swishes,189.0,D,"rgb(69,146,0)",20
69,Team Wallace,188.0,I,"rgb(70,145,0)",20
70,The Sengunies,188.0,F,"rgb(70,145,0)",20
71,Preying Domantas,187.0,F,"rgb(71,144,0)",20
72,Edward St Easybeats,183.0,E,"rgb(75,141,0)",20
73,Matisse Fly Bulls,181.5,J,"rgb(76,140,0)",20
74,Jaylen CAN go left!,179.5,J,"rgb(78,139,0)",20
75,Rated PG13,178.5,L,"rgb(79,138,0)",20
76,Rodney Rodgers,177.5,K,"rgb(80,137,0)",20
77,Townsville Crocs,177.0,F,"rgb(81,137,0)",20
78,Lucky Punters,176.0,B,"rgb(82,136,0)",20
79,Little Buff Boys,174.0,A,"rgb(84,134,0)",20
80,ESU,172.5,L,"rgb(85,133,0)",20
81,Mr. 4th Quarter,172.0,M,"rgb(85,133,0)",20
82,The Plasticman,171.0,K,"rgb(86,132,0)",20
83,Adelaide Shed Shots,170.5,E,"rgb(87,132,0)",20
84,Revenge of  The Cedi,170.0,H,"rgb(87,131,0)",20
85,Frank Reynolds,169.5,K,"rgb(88,131,0)",20
86,Under my  Clint Capela,169.0,H,"rgb(88,131,0)",20
87,The David Cahill's,168.5,K,"rgb(89,130,0)",20
88,T-I-M….Team!!,167.5,M,"rgb(90,129,0)",20
89,Asian Zing,165.5,M,"rgb(92,128,0)",20
90,BoxHill Benny's Brickies,165.5,A,"rgb(92,128,0)",20
91,Phoenix Gray Hammers,165.5,B,"rgb(92,128,0)",20
92,Team Alcobio,165.5,L,"rgb(92,128,0)",20
93,Giddey Up Chumps,164.5,F,"rgb(93,127,0)",20
94,Boots Manuva,162.0,E,"rgb(95,125,0)",20
95,Luka Deez Nuts,161.5,F,"rgb(96,125,0)",20
96,KJ's DM's,161.0,I,"rgb(96,124,0)",20
97,Dort Stop Believin,160.5,C,"rgb(97,124,0)",20
98,Landsdale Smith,160.5,K,"rgb(97,124,0)",20
99,Shanghai  Sharks,159.5,H,"rgb(98,123,0)",20
100,Brooklyn 99,159.0,A,"rgb(98,123,0)",20
101,Uncle Ben,158.0,G,"rgb(99,122,0)",20
102,Bronsexual Lebrolites,156.0,J,"rgb(101,120,0)",20
103,The Shrimp Nets,156.0,F,"rgb(101,120,0)",20
104,Re dirkulous,152.5,I,"rgb(105,118,0)",20
105,The Wrath,152.0,I,"rgb(105,117,0)",20
106,Houston Mob Squad,151.0,B,"rgb(106,117,0)",20
107,Wham Bam Thankyou Ma’am,148.5,K,"rgb(109,115,0)",20
108,Bench Boys,144.5,C,"rgb(113,112,0)",20
109,MrPenPen,144.5,K,"rgb(113,112,0)",20
110,Jazz,143.5,A,"rgb(114,111,0)",20
111,ROUdiamondGH,143.5,H,"rgb(114,111,0)",20
112,Kingcalvin,143.0,L,"rgb(114,110,0)",20
113,Helltown  Hops,142.5,H,"rgb(115,110,0)",20
114,Mo' Money Mo Bamba,142.5,I,"rgb(115,110,0)",20
115,Slovenia. Beer. Dallas,141.5,L,"rgb(116,109,0)",20
116,Miami Heat Checks,140.0,A,"rgb(117,108,0)",20
117,Couch potatoes,139.0,F,"rgb(118,107,0)",20
118,Signature Moves,138.5,I,"rgb(119,107,0)",20
119,Lewisham Loose Units,136.5,B,"rgb(121,105,0)",20
120,VICTOR-IOUS,136.0,B,"rgb(121,105,0)",20
121,Team Nicholson,133.5,C,"rgb(124,103,0)",20
122,Average  Joes,132.5,D,"rgb(125,102,0)",20
123,Indiana Monstars,131.0,A,"rgb(126,101,0)",20
124,Arizoey Magic,130.0,G,"rgb(127,100,0)",20
125,Logan Bogans,129.0,K,"rgb(128,100,0)",20
126,Quit Javing me turky,128.5,G,"rgb(128,99,0)",20
127,"Brooks, Crooks and Sooks",128.0,F,"rgb(129,99,0)",20
128,Boswell Pioneers,127.0,A,"rgb(130,98,0)",20
129,H I,126.0,H,"rgb(131,97,0)",20
130,Weekend at Boogie's,126.0,C,"rgb(131,97,0)",20
131,Donnys Beans,124.0,J,"rgb(133,96,0)",20
132,Jackie Daytona,123.5,K,"rgb(133,95,0)",20
133,ANUS BLEACHING SEA LIONS,123.0,K,"rgb(134,95,0)",20
134,Aussie Goats,122.0,M,"rgb(135,94,0)",20
135,Caruso BaldEagles,122.0,I,"rgb(135,94,0)",20
136,SavedByTheKelle,122.0,C,"rgb(135,94,0)",20
137,Shanghai Sharks,122.0,M,"rgb(135,94,0)",20
138,Murphys Misfits,119.0,H,"rgb(138,92,0)",20
139,Canada Demon,117.0,I,"rgb(140,90,0)",20
140,I need a herro,117.0,L,"rgb(140,90,0)",20
141,All the  Ingles ladies,115.5,J,"rgb(141,89,0)",20
142,Motor Cade,115.5,H,"rgb(141,89,0)",20
143,Boston Ballerz,114.5,B,"rgb(142,88,0)",20
144,Ja 'his real name is Clarence',114.5,C,"rgb(142,88,0)",20
145,50 Shades of Shai,112.5,A,"rgb(144,87,0)",20
146,Jimmy Brings,112.5,A,"rgb(144,87,0)",20
147,OKC-OOPS,112.0,L,"rgb(145,86,0)",20
148,The Hairy Skips,112.0,H,"rgb(145,86,0)",20
149,OG Wan Unobi,111.5,H,"rgb(145,86,0)",20
150,Jazzy J,111.0,I,"rgb(146,86,0)",20
151,Tennant Creek Big Horses,111.0,I,"rgb(146,86,0)",20
152,Jimmy ButtPlugs,110.5,E,"rgb(146,85,0)",20
153,Team irwin,110.5,C,"rgb(146,85,0)",20
154,Ben Simmons Construction,109.5,G,"rgb(147,84,0)",20
155,Big Bam Theory,109.5,M,"rgb(147,84,0)",20
156,Please Hammer don't Huerter,108.0,G,"rgb(149,83,0)",20
157,Knock the  Toppin off,106.5,C,"rgb(150,82,0)",20
158,Keyonte George  Costanza,104.0,J,"rgb(153,80,0)",20
159,Daryl's Discount Dimes,103.5,E,"rgb(153,80,0)",20
160,Ja Raffe,103.5,M,"rgb(153,80,0)",20
161,Team James,103.0,E,"rgb(154,79,0)",20
162,Duncans Donuts,102.0,G,"rgb(155,79,0)",20
163,Luka Warm,99.0,G,"rgb(158,76,0)",20
164,Wizbangs' Warriors,98.5,D,"rgb(158,76,0)",20
165,Brisbane Noble’s Nobs,98.0,B,"rgb(159,75,0)",20
166,Cossi's Carnts,98.0,D,"rgb(159,75,0)",20
167,Valentuna Sandwhich,98.0,M,"rgb(159,75,0)",20
168,Karl Anthony's CLOWNS,97.0,F,"rgb(160,75,0)",20
169,Kripsy Strips Porzingerbox,97.0,J,"rgb(160,75,0)",20
170,Miami Butlers,96.5,B,"rgb(160,74,0)",20
171,Shwin's Ballsdeep,94.5,L,"rgb(162,73,0)",20
172,Team Pyke,92.5,F,"rgb(164,71,0)",20
173,GIDDEY UPS,91.0,L,"rgb(166,70,0)",20
174,Mamba Mentality,90.0,E,"rgb(167,69,0)",20
175,Scottie Pippings,90.0,F,"rgb(167,69,0)",20
176,Boomtown Bulls,89.0,K,"rgb(168,68,0)",20
177,Lick DeBallZachs,88.5,D,"rgb(168,68,0)",20
178,Rikroller,86.5,E,"rgb(170,67,0)",20
179,In Touch With The Common Man,85.5,I,"rgb(171,66,0)",20
180,Team Rah to the Max,85.5,F,"rgb(171,66,0)",20
181,Team Blah,83.5,M,"rgb(173,64,0)",20
182,LA Anthony Day-to-Davis,83.0,B,"rgb(173,64,0)",20
183,Yippie Kyrie Motherf**ker,82.5,A,"rgb(174,63,0)",20
184,WORST EVER,82.0,G,"rgb(174,63,0)",20
185,Greek Freaks,81.5,D,"rgb(175,63,0)",20
186,Team Hewish,80.5,M,"rgb(176,62,0)",20
187,Browntown,77.0,M,"rgb(179,59,0)",20
188,North Noosa Leather Jackets,76.5,A,"rgb(180,59,0)",20
189,Peeattle Poopersonics,76.5,J,"rgb(180,59,0)",20
190,Team Z3LLY,76.0,I,"rgb(180,58,0)",20
191,Meep Meep,75.5,I,"rgb(181,58,0)",20
192,My team sucks. Damn.,75.0,I,"rgb(181,58,0)",20
193,Wembanyama but 5'10,73.5,J,"rgb(183,56,0)",20
194,The Flaming Galahs,73.0,C,"rgb(183,56,0)",20
195,GOLD COAST  GREMLINS,72.0,C,"rgb(184,55,0)",20
196,Bunbury  Munno23,71.5,K,"rgb(185,55,0)",20
197,Team Winchester,71.0,B,"rgb(185,55,0)",20
198,It’s the Final  KAT-Towns,69.0,G,"rgb(187,53,0)",20
199,Bair Jordan,68.5,D,"rgb(188,53,0)",20
200,Desmond’s  Dynasty,68.0,J,"rgb(188,52,0)",20
201,Team Cumming,68.0,H,"rgb(188,52,0)",20
202,Red Dragons,64.0,G,"rgb(192,49,0)",20
203,New Orleans Zionlyfans,63.5,C,"rgb(193,49,0)",20
204,Embiid's Flavour Town,62.5,I,"rgb(194,48,0)",20
205,Sweet Home Wembanyama,61.5,A,"rgb(195,47,0)",20
206,Globetrotter Gunts,61.0,K,"rgb(195,47,0)",20
207,It's Always F'd In Philadelphia,59.5,E,"rgb(197,46,0)",20
208,KING JAMIS,58.5,G,"rgb(198,45,0)",20
209,You Don't Mess with the Ant-Man,56.5,A,"rgb(200,43,0)",20
210,Eastcoast  Losers,56.0,E,"rgb(200,43,0)",20
211,Lil Bow Yaus,56.0,J,"rgb(200,43,0)",20
212,Panania Rockets,55.5,D,"rgb(201,43,0)",20
213,Flint Michigan tropics,54.5,L,"rgb(202,42,0)",20
214,G-Town DownTowners,54.0,C,"rgb(202,41,0)",20
215,Kobe Wan Kenobi,51.0,F,"rgb(205,39,0)",20
216,Bird Sprog,49.0,K,"rgb(207,37,0)",20
217,Fox Force 5,47.0,J,"rgb(209,36,0)",20
218,Plumlees Crack,47.0,B,"rgb(209,36,0)",20
219,Team Mercer,46.5,M,"rgb(210,36,0)",20
220,Team Becks,46.0,G,"rgb(210,35,0)",20
221,Flex n Affect,44.5,E,"rgb(212,34,0)",20
222,Joe Hablo Ingles,44.0,K,"rgb(212,34,0)",20
223,James and the Giant Overreach,40.5,H,"rgb(215,31,0)",20
224,Wandering Bears,40.0,D,"rgb(216,31,0)",20
225,The Mighty Bears,39.5,D,"rgb(216,30,0)",20
226,Minnesota  Lumberjacks,39.0,A,"rgb(217,30,0)",20
227,The Blue Mountain Goats,33.5,C,"rgb(222,25,0)",20
228,Insert Team Name Here,32.0,K,"rgb(224,24,0)",20
229,LaMarc Gasoldridge,31.0,K,"rgb(225,24,0)",20
230,Hard Solo,30.5,B,"rgb(225,23,0)",20
231,Josh Kiddey,30.5,D,"rgb(225,23,0)",20
232,Los Angeles Ballerz,29.5,F,"rgb(226,22,0)",20
233,Sideline Out of Bounds,29.0,K,"rgb(227,22,0)",20
234,DY PJ  Birch,28.5,E,"rgb(227,22,0)",20
235,ChixnGrog,27.5,D,"rgb(228,21,0)",20
